Event ID,Outage Start,YEAR,MONTH,Season,State,Postal Code,Climate Region,NERC Region,Climate Category,Cause Category,Cause Detail,Duration Minutes,Duration Hours,Duration Bucket,Customers Affected,Urban Population Density,Outage Count
811,2000-01-23 08:00:00,2000,1,Winter,South Carolina,SC,Southeast,SERC,Cold,Severe Weather,Winter Storm,7440.0,124.0,More than 3 days,133000.0,1288.1,1
813,2000-01-29 22:00:00,2000,1,Winter,South Carolina,SC,Southeast,SERC,Cold,Severe Weather,Winter Storm,6600.0,110.0,More than 3 days,81000.0,1288.1,1
236,2000-03-18 16:00:00,2000,3,Spring,Texas,TX,South,TRE,Cold,System Operability Disruption,Transmission Interruption,70.0,1.1666666666666667,Under 1 day,100000.0,2435.3,1
188,2000-05-02 04:00:00,2000,5,Spring,Texas,TX,South,TRE,Cold,Severe Weather,,480.0,8.0,Under 1 day,238000.0,2435.3,1
924,2000-05-09 11:39:00,2000,5,Spring,New York,NY,Northeast,NPCC,Cold,System Operability Disruption,,681.0,11.35,Under 1 day,,4161.4,1
231,2000-05-24 10:15:00,2000,5,Spring,Texas,TX,South,SPP,Cold,System Operability Disruption,,2159.0,35.983333333333334,1 to 3 days,2000000.0,2435.3,1
732,2000-05-25 10:00:00,2000,5,Spring,North Carolina,NC,Southeast,SERC,Cold,Severe Weather,,11280.0,188.0,More than 3 days,100000.0,1367.2,1
505,2000-06-14 15:54:00,2000,6,Summer,Arizona,AZ,Southwest,WECC,Cold,Severe Weather,Wildfire,66.0,1.1,Under 1 day,40911.0,2625.4,1
382,2000-08-06 16:00:00,2000,8,Summer,Illinois,IL,Central,SERC,Cold,Severe Weather,,1200.0,20.0,Under 1 day,239567.0,2877.6,1
342,2000-08-10 21:30:00,2000,8,Summer,Alabama,AL,Southeast,SERC,Cold,Severe Weather,,1230.0,20.5,Under 1 day,75000.0,1278.5,1
746,2000-08-18 18:30:00,2000,8,Summer,North Carolina,NC,Southeast,SERC,Cold,Severe Weather,,2490.0,41.5,1 to 3 days,130000.0,1367.2,1
341,2000-12-16 11:36:00,2000,12,Winter,Alabama,AL,Southeast,SERC,Cold,Severe Weather,Tornadoes,3264.0,54.4,1 to 3 days,60000.0,1278.5,1
1161,2001-01-17 01:45:00,2001,1,Winter,California,CA,West,WECC,Cold,System Operability Disruption,,2055.0,34.25,1 to 3 days,,4303.7,1
1257,2001-01-20 08:15:00,2001,1,Winter,California,CA,West,WECC,Cold,System Operability Disruption,,1835.0,30.583333333333332,1 to 3 days,,4303.7,1
1439,2001-03-06 09:17:00,2001,3,Spring,Massachusetts,MA,Northeast,NPCC,Normal,System Operability Disruption,,103.0,1.7166666666666666,Under 1 day,130000.0,2016.3,1
294,2001-03-14 15:00:00,2001,3,Spring,Texas,TX,South,TRE,Normal,System Operability Disruption,,1440.0,24.0,1 to 3 days,114000.0,2435.3,1
1222,2001-03-19 11:46:00,2001,3,Spring,California,CA,West,WECC,Normal,Public Appeal,,554.0,9.233333333333333,Under 1 day,,4303.7,1
1128,2001-03-20 09:17:00,2001,3,Spring,California,CA,West,WECC,Normal,System Operability Disruption,,316.0,5.266666666666667,Under 1 day,,4303.7,1
1250,2001-03-20 11:50:00,2001,3,Spring,California,CA,West,WECC,Normal,System Operability Disruption,,141.0,2.35,Under 1 day,25000.0,4303.7,1
1245,2001-05-07 16:45:00,2001,5,Spring,California,CA,West,WECC,Normal,Public Appeal,,75.0,1.25,Under 1 day,,4303.7,1
1163,2001-05-08 15:10:00,2001,5,Spring,California,CA,West,WECC,Normal,Public Appeal,,140.0,2.3333333333333335,Under 1 day,,4303.7,1
1243,2001-05-08 15:12:00,2001,5,Spring,California,CA,West,WECC,Normal,System Operability Disruption,,108.0,1.8,Under 1 day,70848.0,4303.7,1
253,2001-06-06 16:22:00,2001,6,Summer,Texas,TX,South,TRE,Normal,System Operability Disruption,,167.0,2.783333333333333,Under 1 day,24506.0,2435.3,1
273,2001-06-08 19:00:00,2001,6,Summer,Texas,TX,South,TRE,Normal,Severe Weather,Flooding,10140.0,169.0,More than 3 days,36073.0,2435.3,1
925,2001-06-25 13:25:00,2001,6,Summer,New York,NY,Northeast,NPCC,Normal,Equipment Failure,Feeder Shutdown,494.0,8.233333333333333,Under 1 day,,4161.4,1
1329,2001-08-09 15:11:00,2001,8,Summer,Virginia,VA,Southeast,SERC,Normal,System Operability Disruption,,241.0,4.016666666666667,Under 1 day,600000.0,2265.2,1
1412,2002-01-30 06:00:00,2002,1,Winter,Oklahoma,OK,South,SPP,Normal,Severe Weather,Winter Storm,11880.0,198.0,More than 3 days,1881134.0,1901.7,1
867,2002-01-30 16:00:00,2002,1,Winter,Missouri,MO,Central,SPP,Normal,Severe Weather,Winter Storm,15420.0,257.0,More than 3 days,95000.0,2053.5,1
1173,2002-02-27 10:48:00,2002,2,Winter,California,CA,West,WECC,Normal,System Operability Disruption,,47.0,0.7833333333333333,Under 1 day,255000.0,4303.7,1
156,2002-03-09 00:00:00,2002,3,Spring,Michigan,MI,East North Central,ECAR,Normal,Severe Weather,,3600.0,60.0,1 to 3 days,190000.0,2034.1,1
1038,2002-08-09 08:23:00,2002,8,Summer,Florida,FL,Southeast,SERC,Warm,System Operability Disruption,,230.0,3.8333333333333335,Under 1 day,25000.0,2315.2,1
1135,2002-08-25 03:41:00,2002,8,Summer,California,CA,West,WECC,Warm,System Operability Disruption,,336.0,5.6,Under 1 day,,4303.7,1
1158,2002-11-06 22:00:00,2002,11,Fall,California,CA,West,WECC,Warm,Severe Weather,Winter Storm,5160.0,86.0,More than 3 days,939000.0,4303.7,1
1406,2002-11-17 06:00:00,2002,11,Fall,Connecticut,CT,Northeast,NPCC,Warm,Severe Weather,Winter Storm,5880.0,98.0,More than 3 days,224912.0,1721.9,1
1302,2002-12-03 18:30:00,2002,12,Winter,Arkansas,AR,South,SPP,Warm,Severe Weather,Winter Storm,8160.0,136.0,More than 3 days,43000.0,1492.8,1
1338,2002-12-11 13:09:00,2002,12,Winter,Virginia,VA,Southeast,SERC,Warm,Severe Weather,Winter Storm,2691.0,44.85,1 to 3 days,130000.0,2265.2,1
1258,2002-12-14 11:00:00,2002,12,Winter,California,CA,West,WECC,Warm,Severe Weather,Winter Storm,6780.0,113.0,More than 3 days,1500000.0,4303.7,1
1206,2002-12-19 06:00:00,2002,12,Winter,California,CA,West,WECC,Warm,Severe Weather,Winter Storm,2820.0,47.0,1 to 3 days,385000.0,4303.7,1
628,2002-12-25 10:00:00,2002,12,Winter,Pennsylvania,PA,Northeast,RFC,Warm,Severe Weather,Winter Storm,2790.0,46.5,1 to 3 days,95630.0,2123.4,1
625,2002-12-25 17:00:00,2002,12,Winter,Pennsylvania,PA,Northeast,RFC,Warm,Severe Weather,Winter Storm,720.0,12.0,Under 1 day,106000.0,2123.4,1
711,2003-01-25 14:00:00,2003,1,Winter,Ohio,OH,Central,ECAR,Warm,Intentional Attack,Vandalism,1440.0,24.0,1 to 3 days,,2033.7,1
750,2003-02-27 11:32:00,2003,2,Winter,North Carolina,NC,Southeast,SERC,Warm,Severe Weather,Winter Storm,3388.0,56.46666666666667,1 to 3 days,340000.0,1367.2,1
81,2003-04-03 19:00:00,2003,4,Spring,Michigan,MI,East North Central,ECAR,Normal,Severe Weather,Winter Storm,4200.0,70.0,1 to 3 days,425000.0,2034.1,1
920,2003-04-04 03:11:00,2003,4,Spring,New York,NY,Northeast,NPCC,Normal,Severe Weather,Storm,2089.0,34.81666666666667,1 to 3 days,160000.0,4161.4,1
201,2003-04-15 11:00:00,2003,4,Spring,Texas,TX,South,TRE,Normal,Equipment Failure,Relaying Malfunction,186.0,3.1,Under 1 day,68530.0,2435.3,1
